Project Name,Sector,Donor,Date of Agreement,Completion Date,Commitments (USD),Disbursements (USD)
CTR 315596 Audit - Agriculture and Nutrition Extension Project (ANE),AGRICULTURE,European Union, -, -,0,10190
CTR 306602 Audit training,EDUCATION,European Union, -, -,0,15824
CTR 310775 Complementary financial audit of RfS 289908 (PWC, Advocacy Forum 148079),FINANCIAL SERVICES, -, -,0,43630
CTR 335222 ''Sankalpa'' - Collaborative Commitment for participatory and gender responsive budgets,Women  CHILDREN & SOCIAL WELFARE,European Union, -, -,0,534900
CTR 333671 Efficient Transmission of Electricity from Renewable Energy Sources in Nepal,ELECTRICITY,European Union, -, -,3324817,2954115
Team Leader for MSNP Support Project Formulation (CTR 339168),HEALTH,European Union, -, -,14549,14494
Nepal- Identification of EU support to TVET sector (CTR 340011),EDUCATION,European Union, -, -,55453,55183
Junior Expert for MSNP Support Programme Formulation (CTR 339174),HEALTH,European Union, -, -,12933,12884
CTR 338793 Audit of a KFK Project (161797),Women  CHILDREN & SOCIAL WELFARE,European Union, -, -,0,17710
CTR 339776 Mid-term Evaluation of Support to Institutionalizing the Nepal Food Security Monitoring and Analysis System (NeKSAP),AGRICULTURE,European Union, -, -,0,45267
Assessment of the Concept Notes for Call for Proposals 135-598 (FPI,SOCIAL PROTECTION,European Union, -, -,0,9554
The School Sector Development Program(SSDP),EDUCATION,United Nations Children's Fund,42381,42747,443021934,172862398
The Project for Improvement of Medical Equipment in Tribhuwan University Teaching Hospital,EDUCATION,Japan International Cooperation Agency,42732,44500,6423236,6830710
EU-Nepal Practical Partnership for Technical Vocational Education and Training Reform (EU-TVET),EDUCATION,European Union,42733,43828,20802000,3307995
Skills for Employment Programme EDUCATION,Department for International Development,42579,44834,38656870,11003225, -
Enhanced Vocational Education and Training Project II (EVENT II),EDUCATION,International Development Association,43121,44762,60000000,6608079
Promoting visibility of the EU assistance to Nepal with a special focus on peace process and the role of stability for development (CTR 345498),LOCAL DEVELOPMENT,European Union, -, -,252776,75432
Pre-identification for MIP 2014-2020 Sustainable Rural Development sector (CTR 348665),GENERAL PUBLIC SERVICE,European Union, -, -,26298,23500
Enhance the capacity of the Ministry of Commerce and Supplies,PLANNING & STATISTICS,European Union, -, -,4177643,4296061
CTR 360969 Communication and Visibility Services for EU in Nepal,ECONOMIC REFORM,European Union, -, -,10978,10944
CTR 352435 Infrastructure Summit – Meeting package,LOCAL DEVELOPMENT,European Union, -, -,0,10856
Empowering Raji Community in Surkhet District to Establish Their Rights and Entitlements (CTR 234001),OTHERS - SOCIAL,European Union, -, -,0,6311
Nawa Jeewan (Establishment of Dignity life of Single Women within their Society) (CTR 234125),SOCIAL PROTECTION,European Union, -, -,0,5554
Breaking the Barriers: Safeguarding the Rights of Girl Infants (CTR 348189),Women  CHILDREN & SOCIAL WELFARE,European Union, -, -,1204421,787754
Strengthening HRDs and Civil Societies for Promotion of Economic,SOCIAL PROTECTION,European Union, -, -,232861,217166
Ensuring rights through skills and voice (CTR 330493),SOCIAL PROTECTION,European Union, -, -,374403,310458
Empowering Marginalized Madhesi Women for Inclusive Governance and Participation (CTR 329764),MISCELLANEOUS,European Union, -, -,93698,89300
A human rights and reconciliation promoting initiative at the community level (CTR 267486),LOCAL DEVELOPMENT,European Union, -, -,0,5231
CTR 335035 Mid-term Review of Partnership Programmes for CSOs,ECONOMIC REFORM,European Union, -, -,0,213711
Enhancing Sustainability and Profitability of the Carpet and Pashmina Industries in the Kathmandu Valley (Switch-Asia)(CTR 312252),ECONOMIC REFORM,European Union, -, -,18413,1029947
World Food Programme Remote Access Operation (CTR 366785),OTHERS - SOCIAL,European Union, -, -,3287936,2970231
CTR 368507 PARTNERSHIP TO RESTORE EDUCATION IN POST-EARTHQUAKE NEPAL,EDUCATION,European Union, -, -,4373200,4132710
BICAS: Building Inclusive and Sustainable Growth Capacity of CSOs in Agriculture and Forest Sectors (CTR 370970),AGRICULTURE,European Union, -, -,1651699,1676591
Hamro Sikshya: Strengthening CSOs Role in Governance and Accountability of Nepal's Education Sector (CTR 371308),EDUCATION,European Union, -, -,592916,517197
Right to Voice: Promoting Media Freedom of Expression in Nepal CTR 371553),COMMUNICATIONS,European Union, -, -,287996,257840
Promoting Human Rights of Detainees and Prisoners in Nepal (CTR 371706),SOCIAL PROTECTION,European Union, -, -,297638,359538
Elimination of Chhaupadi practice in Karnali,SOCIAL PROTECTION,European Union, -, -,300645,305293
SAHAKARYA: Partnership for safeguarding right of Freed Kamaiyas and Kamalaris on food and land entitlement (CTR 372059),SOCIAL PROTECTION,European Union, -, -,291239,269395
Empowering the Women for Gender Equality (CTR 292210),Women  CHILDREN & SOCIAL WELFARE,European Union, -, -,12605,19623
Supporting Protection and Sustainable Solutions for the Refugees from Bhutan in Nepal (CTR 359386),SOCIAL PROTECTION,European Union, -, -,2174000,2187642
Empowering the Rural Women of Surkhet and Dailekh District to Eliminate Chaupadi (CTR 292367),Women  CHILDREN & SOCIAL WELFARE,European Union, -, -,10810,20609
EU Agriculture Development Strategy (ADS) support identification and design (CTR 372416),AGRICULTURE,European Union, -, -,81122,31562
Empowering Women for Peace: Towards implementation of the National Action Plan on UNSCR 1325 and 1820 CTR 355035,Women  CHILDREN & SOCIAL WELFARE,European Union, -, -,0,245438
Organisation of Annual Society Forum CTR 376282,GENERAL ADMINISTRATION,European Union, -, -,0,15911
PFM reviews 2017,FINANCIAL REFORM,European Union, -, -,124712,104755
Service Contract for the EU Communication and Visibility Nepal (CTR 378349),OTHERS - ECONOMIC,European Union, -, -,311206,339088
Budget Analysis and Public Finance Management assessment of Ministries involved in the implementation of the Agriculture Development Strategy of Nepal CTR 380651,AGRICULTURE,European Union, -, -,12757,12805
HAMRO COFFEE-Expanding Opportunities for Nepalese Coffee Farmers and Traders (CTR 384030),AGRICULTURE,European Union, -, -,542313,933659
EU Support to the Competitiveness of Quality Coffee in Nepal (CTR 384037),AGRICULTURE,European Union, -, -,542063,546543
Supply of laboratory equipment  legal metrology inspection equipment,COMMERCE,European Union, -, -,352337,372527
Supply of laboratory equipment,COMMERCE,European Union, -, -,281186,305648
Supply of laboratory equipment,ECONOMIC AFFAIRS,European Union, -, -,179092,191766
Supply of laboratory equipment,COMMERCE,European Union, -, -,95222,101402
Supply of laboratory equipment,COMMERCE,European Union, -, -,343658,368290
Support for coordination and implementation of the Anti-Corruption Road Map in Nepal (CTR 377751),ECONOMIC AFFAIRS,European Union, -, -,198102,182892
Support measures of Delegation Nepal to Facilitate various grants by EU,OTHERS - ECONOMIC,European Union, -, -,259453,147178
Supporting Collective Voice and Action against Caste Based Discrimination in Nepal -SAJHA AAWAJ (CTR 388524),OTHERS - SOCIAL,European Union,43026, -,893719,1027653
Support to Development Partner cooperation,EDUCATION,European Union, -, -,172975,176166
TVET sub-sector Analysis in Nepal (CTR 352624),EDUCATION,European Union, -, -,54516,48603
Dakchyata :TVET Practical Partnership (CTR 379793),EDUCATION,European Union, -, -,14714368,5225312
SAKCHYAMTA: Scaled-up Quality of the TVET provision and implementation (CTR 386809),EDUCATION,European Union, -, -,6482300,3033541
Action to Enhance Social Security Services for Promoting Rights of Children Affected by AIDS in Kanchanpur District of Nepal (ASPRC) (CTR 292381),HEALTH,European Union, -, -,0,10443
Project REAL-“Right to Earn A Living” (CTR 390832),OTHERS - SOCIAL,European Union, -, -,355470,190486
Active Citizens for Accountable Local Governments (CTR 390835),LOCAL DEVELOPMENT,European Union, -, -,354669,225614
Supporting Families and Youths for Promoting Rights of the Children in Slum Areas (CTR 292412),OTHERS - SOCIAL,European Union, -, -,0,114065
Right Based Education to Empower Dalit and Marginalised Adolescent Girls and Children in Nepal (Girls SAMVAD) (CTR 390836),EDUCATION,European Union, -, -,355350,221691
Resilient communities through building back better in districts most severely affected by 2015 earthquake (ECHO-91015),EARTHQUAKE RECONSTRUCTION,European Union, -, -,888999,711199
PRAYAAS - Strengthening resilience of local communities and institutions from the impacts of natural disaster along the earthquake affected regions of Nepal (ECHO - 91014),EARTHQUAKE RECONSTRUCTION,European Union, -, -,1055735,844588
Promoting inclusive Community Based Disaster Preparedness in the Recovery and Reconstruction of earthquake affected areas of Nepal (ECHO - 91009),EARTHQUAKE RECONSTRUCTION,European Union, -, -,1055735,844588
BISWASH - Building back better,EARTHQUAKE RECONSTRUCTION,European Union, -, -,444493,355595
Enhancing preparedness for emergency response through stronger national systems in Nepal with particular focus on Far-western and Mid-western Regions (ECHO - 91026),MISCELLANEOUS,European Union, -, -,890100,712080
Promoting and strengthening DRR and school safety throughout the education sector in Nepal (ECHO - 91019),MISCELLANEOUS,European Union, -, -,890100,712080
Strengthening emergency response capacity of critical hub hospital networks in the Mid and Far- Western Development Regions of Nepal through enhanced hospital safety and their linkages with pre-hospital and post-hospital care services and the community,HEALTH,European Union, -, -,1186800,949440
Disaster Recovery for Flood Affected Children and their Families in Banke and Sarlahi Districts,HEALTH,European Union, -, -,9436000,7548800
Water,WATER AND ENERGY COMMISSION SECRETARIATS,European Union, -, -,23472000,14753841
Sustainable Tourism and Green Growth for Heritage Settlements of Kathmandu Valley (CTR 393273),ENVIRONMENT SCIENCE & TECHNOLOGY,European Union, -, -,2584058,1214944
Identification and Formulation of EU-Nepal (CTR 395012),ECONOMIC AFFAIRS,European Union, -, -,18686,17816
Facilitating the Mid Term review and the EU++ Joint Programming Process in Nepal (CTR 388903),POLICY AND STRATEGIC,European Union, -, -,23958,23704
Support EU Delegation in the identification phase in the governance sector (CTR 389015),GENERAL ADMINISTRATION,European Union, -, -,14375,14174
PRAYAAS-II: Building resilience of the most at risk households and communities through transformative,EARTHQUAKE RECONSTRUCTION,European Union, -, -,1153800,2061040
Resilient reconstruction through building back better focused on the most vulnerable communities severely affected by 2015 earthquake (ECHO-91019),EARTHQUAKE RECONSTRUCTION,European Union, -, -,1153800,2061040
Expert Services for the NHRC support to project design and orientation (CTR 387816),SOCIAL PROTECTION,European Union, -, -,17958,17373
Promoting citizen empowerment and inclusive democracy in Province 2 (CTR 403214),LOCAL DEVELOPMENT,European Union, -, -,1085375,218904
Enhancing sub-national good governance in Nepal (CTR 403276),GENERAL ADMINISTRATION,European Union, -, -,1140215,315097
Enhancing the Capacity of National Human Rights Commission Project (ECNHRCP) CTR 395314,GENERAL ADMINISTRATION,European Union, -, -,444690,188329
SAFE Media Nepal: A Safe,COMMUNICATIONS,European Union,40909,41698,320849,288180
Mukti: enhanced capacity of civil society in Nepal to unite and demand state accountability and ensure protection and promotion of Haliya rights (CTR 267705),SOCIAL PROTECTION,European Union,40878,42004,416359,385099
Municipal Finance and Capacity Building (CTR 402797),LOCAL DEVELOPMENT,European Union, -, -,2286437,321071
Technical Cooperation Facility (TCF) for the Agriculture Development Strategy (ADS) - CTR 405773,LOCAL DEVELOPMENT,European Union, -, -,3786649,590300
Support to the EU Delegation in Nepal for the identification and formulation of a nutrition intervention - CTR,HEALTH,European Union, -, -,0,22471
Participation,LOCAL DEVELOPMENT,European Union, -, -,1135624,340523
Federalism and Nutrition Support to Nepal - CTR 404932,LOCAL DEVELOPMENT,European Union, -, -,90747,18156
CTR 234000 Reducing social tensions and social crimes and enhancing telerance for sustainable peace conciliation process in North-west communities of Kapivastu district,SOCIAL PROTECTION,European Union,40529,41275,48512,49525
VSBK – Vertical Shaft Brick Kilns and other SCP – Sustainable Construction Practices (CTR 262897),INDUSTRY,European Union,40877,42124,2624965,2204305
Sustainable and Efficient Industrial Development (SEID) (CTR 263230),ECONOMIC AFFAIRS,European Union,40901,42155,2638829,2314298
Agriculture and Nutrition Extension Project (ANE) CTR 261122,AGRICULTURE,European Union,40893,41989,4902054,4667051
CTR 271844 Electoral education at grassroots and district levels for democratic governance,SOCIAL PROTECTION,European Union, -,42643,468284,391122
Electoral education and observation,SOCIAL PROTECTION,European Union, -,42610,0,217253
International Protection and Assistance to the Refugees from Bhutan in the Camps in Eastern Nepal (CTR 281601),SOCIAL PROTECTION,European Union, -, -,68689,1670927
Economic growth for social justice: supporting non-timber forest product (NTFP)trade and business development in Karnali (CTR 287648),INDUSTRY,European Union, -, -,0,98223
Safe Passage: Making the mobility safe by reducing the vulnerability and impact of HIV and AIDS - Nepal (CTR 133554),HEALTH,European Union, -,41274,1102369,1339075
Strengthening Systems for Social Protection and Civil Registration Project,LOCAL DEVELOPMENT,International Development Association,42758,44530,150000000,11922540
Motorable Local Roads Bridge Programme (MLRBP) Phase II,LOCAL DEVELOPMENT,Swiss Agency for Development and Cooperation,42503,42794,5359763,3501607
Motorable Local Roads Bridge Programme Phase -III,LOCAL DEVELOPMENT,Swiss Agency for Development and Cooperation,42761,43861,10897374,9853558
A Collaborative Approach Promoting Child Rights,Women  CHILDREN & SOCIAL WELFARE,European Union,41254,42400,409556,391389
